Modelo,Encoding,Procesamiento,Accuracy,Precision,Recall,F1-weighted,ROC-AUC(macro),ArchivoModelo
LR,com,Scaled,0.8412162162162162,0.8469340388989461,0.8412162162162162,0.8405592802704716,0.8930890349809268,com_Scaled_LR.pkl
DT,com,Original,0.8885135135135135,0.8906716246614332,0.8885135135135135,0.8883593348191325,0.8885135135135135,com_Original_DT.pkl
DT,com,Scaled,0.8885135135135135,0.8906716246614332,0.8885135135135135,0.8883593348191325,0.8885135135135135,com_Scaled_DT.pkl
DT,eiip,Original,0.8873873873873874,0.8881750162654521,0.8873873873873874,0.8873302340689012,0.8873873873873874,eiip_Original_DT.pkl
DT,eiip,Scaled,0.8873873873873874,0.8881750162654521,0.8873873873873874,0.8873302340689012,0.8873873873873874,eiip_Scaled_DT.pkl
LR,com,Original,0.8265765765765766,0.8344207114361701,0.8265765765765766,0.8255536279212164,0.8850691908124341,com_Original_LR.pkl
MLP,eiip,Original,0.7725225225225225,0.7807483277591971,0.7725225225225225,0.7708439793144328,0.8803769986202419,eiip_Original_MLP.pkl
LR,eiip,Original,0.786036036036036,0.7900139894667544,0.786036036036036,0.7852998065764023,0.8748021670318968,eiip_Original_LR.pkl
DT,dax,Original,0.8569819819819819,0.8603619288534311,0.8569819819819819,0.8566458411455519,0.8569819819819819,dax_Original_DT.pkl
DT,dax,Scaled,0.8558558558558559,0.8593852459016394,0.8558558558558559,0.8555010882167484,0.8558558558558558,dax_Scaled_DT.pkl
KNN,eiip,PCA,0.7331081081081081,0.7888172407941626,0.7331081081081081,0.7195860464558526,0.8447112653193734,eiip_PCA_KNN.pkl
KNN,eiip,Original,0.7477477477477478,0.7488839968201554,0.7477477477477478,0.7474595121653945,0.8392860766171577,eiip_Original_KNN.pkl
SVM,eiip,Original,0.7916666666666666,0.7980545432868006,0.7916666666666666,0.7905444085888523,0.8362678556935313,eiip_Original_SVM.pkl
KNN,eiip,Scaled,0.7353603603603603,0.7960283280696718,0.7353603603603603,0.7210693677545603,0.8346775829883938,eiip_Scaled_KNN.pkl
LDA,dax,PCA,0.7466216216216216,0.7618276993004357,0.7466216216216216,0.742888578616514,0.8254200146092038,dax_PCA_LDA.pkl
LR,dax,PCA,0.7466216216216216,0.7579382132454758,0.7466216216216216,0.743811666955167,0.7606018180342504,dax_PCA_LR.pkl
LR,dax,Scaled,0.7612612612612613,0.7776915113871635,0.7612612612612613,0.7576768612913191,0.7568328463598732,dax_Scaled_LR.pkl
LR,dax,Original,0.7522522522522522,0.7681159420289855,0.7522522522522522,0.7485325919060859,0.7552755458160864,dax_Original_LR.pkl
KNN,km6,Original,0.5551801801801802,0.764600715137068,0.5551801801801802,0.4454553934348217,0.7319819819819819,km6_Original_KNN.pkl
KNN,km4,Original,0.5551801801801802,0.764600715137068,0.5551801801801802,0.4454553934348217,0.7297297297297297,km4_Original_KNN.pkl
KNN,km3,Original,0.5529279279279279,0.7639714625445898,0.5529279279279279,0.4412483060854129,0.7286036036036037,km3_Original_KNN.pkl
NB,eiip,Original,0.6981981981981982,0.7762443438914027,0.6981981981981982,0.6752614457568282,0.7032277209642074,eiip_Original_NB.pkl
NB,com,Original,0.7015765765765766,0.7919185760356137,0.7015765765765766,0.6765516435635399,0.7019139071503936,com_Original_NB.pkl
NB,dax,Original,0.6948198198198198,0.7761928733235052,0.6948198198198198,0.6705541553781643,0.6974981738495252,dax_Original_NB.pkl
NB,com,Scaled,0.6948198198198198,0.7884914405041802,0.6948198198198198,0.6678586955771633,0.6963441482022563,com_Scaled_NB.pkl
NB,eiip,Scaled,0.6914414414414415,0.7742732558139536,0.6914414414414415,0.6662423457630096,0.696126024673322,eiip_Scaled_NB.pkl
NB,dax,Scaled,0.6869369369369369,0.7737157966665676,0.6869369369369369,0.6599875489639746,0.6900921191461732,dax_Scaled_NB.pkl
LDA,eiip,Original,0.6722972972972973,0.6825039895546207,0.6722972972972973,0.6676505654524197,0.6381077022968915,eiip_Original_LDA.pkl
LDA,eiip,Scaled,0.6722972972972973,0.6825039895546207,0.6722972972972973,0.6676505654524197,0.6381077022968915,eiip_Scaled_LDA.pkl
LDA,com,Original,0.7004504504504504,0.7330227621181744,0.7004504504504504,0.6896035154299411,0.6305951221491761,com_Original_LDA.pkl
LDA,com,Scaled,0.7004504504504504,0.7330227621181744,0.7004504504504504,0.6896035154299411,0.6305951221491761,com_Scaled_LDA.pkl
KNN,com,PCA,0.5022522522522522,0.7505643340857787,0.5022522522522522,0.33831889139890087,0.5630630630630631,com_PCA_KNN.pkl
LDA,dax,Original,0.6790540540540541,0.7111036021219208,0.6790540540540541,0.6663920433948708,0.5571534372210049,dax_Original_LDA.pkl
LDA,dax,Scaled,0.6790540540540541,0.7111036021219208,0.6790540540540541,0.6663920433948708,0.5571534372210049,dax_Scaled_LDA.pkl
KNN,com,Scaled,0.5,0.25,0.5,0.3333333333333333,0.5202702702702703,com_Scaled_KNN.pkl
KNN,dax,PCA,0.5,0.25,0.5,0.3333333333333333,0.5101351351351351,dax_PCA_KNN.pkl
KNN,com,Original,0.5,0.25,0.5,0.3333333333333333,0.5045045045045045,com_Original_KNN.pkl
KNN,dax,Scaled,0.5,0.25,0.5,0.3333333333333333,0.5011261261261262,dax_Scaled_KNN.pkl
KNN,dax,Original,0.5,0.25,0.5,0.3333333333333333,0.5,dax_Original_KNN.pkl
